Path;File Name;Masternumber;Size;Suffix;Language;Language;Filetype;Articlenumber;Alte Artikelnummern;Category 1;Category 2;Category 3;;DOP/ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-nl.pdf;100746-00-file-4-1-nl.pdf;100746;;-4-1;nl;nl;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certificaten;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-nn-no.pdf;100746-00-file-4-1-nn-no.pdf;100746;;-4-1;nn-no;nb-no;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Sertifikater;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-pl.pdf;100746-00-file-4-1-pl.pdf;100746;;-4-1;pl;pl;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certyfikaty;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-pt.pdf;100746-00-file-4-1-pt.pdf;100746;;-4-1;pt;pt;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-pt-br.pdf;100746-00-file-4-1-pt-br.pdf;100746;;-4-1;pt-br;pt-br;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-sv.pdf;100746-00-file-4-1-sv.pdf;100746;;-4-1;sv;sv;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certifikat;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1.pdf;100746-19-file-4-1.pdf;100746;;-4-1;;en-gb;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-de.pdf;100746-19-file-4-1-de.pdf;100746;;-4-1;de;de;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Zertifikate;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-en-gb.pdf;100746-19-file-4-1-en-gb.pdf;100746;;-4-1;en-gb;en-gb;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-es.pdf;100746-19-file-4-1-es.pdf;100746;;-4-1;es;es;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certificados;;ProPer
